Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases per 1M population,Deaths per 1M population,Total Tests,Tests per 1M population,Population
Afghanistan,148933,6836.0,100896,41201,3735,171.0,715311.0,17938.0,39876288
Armenia,230713,4621.0,220289,5803,77701,1556.0,1357957.0,457339.0,2969258
Azerbaijan,344951,5030.0,333267,6654,33692,491.0,4049978.0,395572.0,10238292
Bahrain,269401,1384.0,267026,991,152606,784.0,5478201.0,3103199.0,1765340
Bangladesh,1296093,21397.0,1125045,149651,7786,129.0,7899169.0,47451.0,166468503
Bhutan,2532,2.0,2400,130,3243,3.0,798573.0,1022738.0,780819
Brunei,338,3.0,280,55,765,7.0,153432.0,347114.0,442022
Cambodia,79051,1471.0,72145,5435,4658,87.0,1823198.0,107439.0,16969650
China,93193,4636.0,87400,1157,65,3.0,160000000.0,111163.0,1439323776
Cyprus,102716,426.0,80178,22112,84408,350.0,9366973.0,7697444.0,1216894
Georgia,428670,5910.0,388893,33867,107683,1485.0,6877865.0,1727740.0,3980846
Hong Kong,11995,212.0,11719,64,1586,28.0,21390075.0,2828268.0,7562958
India,31726507,425228.0,30896354,404925,22748,305.0,471294789.0,337914.0,1394716546
Indonesia,3496700,98889.0,2873669,524142,12639,357.0,26879023.0,97156.0,276659455
Iran,3979727,91785.0,3424650,463292,46733,1078.0,25857430.0,303641.0,85157975
Iraq,1660371,18865.0,1488186,153320,40302,458.0,13228019.0,321081.0,41198441
Israel,881282,6492.0,852445,22345,94497,696.0,16659252.0,1786323.0,9326000
Japan,944763,15204.0,847873,81686,7495,121.0,18623176.0,147738.0,126055651
Jordan,772743,10059.0,751969,10715,74929,975.0,8542923.0,828367.0,10312967
Kazakhstan,595433,6153.0,489135,100145,31305,323.0,11575012.0,608566.0,19020140
Kuwait,399343,2339.0,386690,10314,92036,539.0,3430973.0,790732.0,4338983
Kyrgyzstan,165540,2354.0,149171,14015,24928,354.0,1544983.0,232652.0,6640744
Laos,7015,7.0,3392,3616,949,0.9,311846.0,42199.0,7389926
Lebanon,563124,7912.0,537451,17761,82907,1165.0,4731376.0,696588.0,6792218
Macao,59,,54,5,90,,4671.0,7089.0,658925
Malaysia,1163291,9598.0,950029,203664,35450,292.0,18400900.0,560740.0,32815382
Maldives,77633,221.0,74928,2484,140933,401.0,1185239.0,2151655.0,550850
Mongolia,167229,827.0,158685,7717,50137,248.0,3446882.0,1033406.0,3335458
Myanmar,306354,10061.0,217142,79151,5590,184.0,3181859.0,58057.0,54805570
Nepal,702097,9922.0,660116,32059,23636,334.0,3633118.0,122311.0,29704048
Oman,297431,3877.0,280927,12627,56686,739.0,1550000.0,295409.0,5246956
Pakistan,1043277,23529.0,944375,75373,4626,104.0,16158330.0,71645.0,225533376
Palestine,317083,3609.0,312149,1325,60632,690.0,2002245.0,382867.0,5229616
Philippines,1612541,28141.0,1521263,63137,14506,253.0,16787733.0,151021.0,111161438
Qatar,226710,601.0,224129,1980,80743,214.0,2348938.0,836574.0,2807805
S. Korea,202203,2104.0,177909,22190,3940,41.0,11820016.0,230333.0,51317110
Saudi Arabia,528952,8270.0,510107,10575,14942,234.0,25337033.0,715714.0,35401050
Singapore,65315,38.0,63033,2244,11070,6.0,15726438.0,2665383.0,5900254
Sri Lanka,313769,4571.0,280868,28330,14587,212.0,4254600.0,197790.0,21510712
Syria,26005,1917.0,22002,2086,1448,107.0,103566.0,5766.0,17960139
Taiwan,15721,791.0,14183,747,659,33.0,3887162.0,162891.0,23863589
Tajikistan,15219,121.0,14705,393,1558,12.0,,,9769276
Thailand,652185,5315.0,437831,209039,9318,76.0,8129670.0,116154.0,69990164
Timor-Leste,11100,26.0,9990,1084,8249,19.0,95473.0,70951.0,1345619
Turkey,5770833,51519.0,5465846,253468,67635,604.0,68390501.0,801549.0,85322962
UAE,685462,1960.0,662660,20842,68410,196.0,66708555.0,6657594.0,10019919
Uzbekistan,131978,893.0,125572,5513,3882,26.0,1377915.0,40533.0,33994653
Vietnam,165339,1881.0,46965,116493,1682,19.0,11890084.0,120971.0,98288434
Yemen,7086,1380.0,4232,1474,232,45.0,162134.0,5310.0,30536315
